i j pA nameA pA' namea cAMax cAMin cANA pB nameB pB' nameb cBMax cBMin cBNA pAB r^2
1 2 0.5901408 2 0.4098592 1 1257 873 NA 0.7744361 2 0.2255639 1 1648 480 2 0.3661234 0.1955739 
1 3 0.5901408 2 0.4098592 1 1257 873 NA 0.873709 2 0.1262911 1 1861 269 NA 0.4639017 0.1001875 
1 4 0.5901408 2 0.4098592 1 1257 873 NA 0.5831767 2 0.4168233 1 1241 887 2 0.5296653 0.5853114 
1 5 0.5901408 2 0.4098592 1 1257 873 NA 0.8107981 2 0.1892019 1 1727 403 NA 0.411952 0.1193017 
1 6 0.5901408 2 0.4098592 1 1257 873 NA 0.842723 2 0.157277 1 1795 335 NA 0.4672161 0.02827846 
1 7 0.5901408 2 0.4098592 1 1257 873 NA 0.5637996 2 0.4362004 1 1193 923 14 0.3598218 0.01234690 
1 8 0.5901408 2 0.4098592 1 1257 873 NA 0.8110902 2 0.1889098 1 1726 402 2 0.561117 0.1834711 
1 9 0.5901408 2 0.4098592 1 1257 873 NA 0.8468045 2 0.1531955 1 1802 326 2 0.4776632 0.01552440 
1 10 0.5901408 2 0.4098592 1 1257 873 NA 0.5366886 2 0.4633114 1 1141 985 4 0.296991 0.006473032 
1 11 0.5901408 2 0.4098592 1 1257 873 NA 0.8061033 2 0.1938967 1 1717 413 NA 0.4461241 0.02316062 
1 12 0.5901408 2 0.4098592 1 1257 873 NA 0.9046948 2 0.09530516 1 1927 203 NA 0.5046171 0.04110931 
1 13 0.5901408 2 0.4098592 1 1257 873 NA 0.7103286 2 0.2896714 1 1513 617 NA 0.3592636 0.07216691 
1 14 0.5901408 2 0.4098592 1 1257 873 NA 0.7103286 2 0.2896714 1 1513 617 NA 0.3592636 0.07216691 
1 15 0.5901408 2 0.4098592 1 1257 873 NA 0.7103286 2 0.2896714 1 1513 617 NA 0.3592636 0.07216691 
1 16 0.5901408 2 0.4098592 1 1257 873 NA 0.8061033 2 0.1938967 1 1717 413 NA 0.4461241 0.02316062 
1 17 0.5901408 2 0.4098592 1 1257 873 NA 0.9896714 2 0.01032864 1 2108 22 NA 0.5818554 0.001940057 
1 18 0.5901408 2 0.4098592 1 1257 873 NA 0.5892019 2 0.4107981 1 1255 875 NA 0.3691 0.007813624 
1 19 0.5901408 2 0.4098592 1 1257 873 NA 0.585446 2 0.414554 1 1247 883 NA 0.3510699 0.0005293308 
1 20 0.5901408 2 0.4098592 1 1257 873 NA 0.62723 2 0.3727700 1 1336 794 NA 0.3594591 0.002022542 
1 21 0.5901408 2 0.4098592 1 1257 873 NA 0.618421 2 0.3815789 1 1316 812 2 0.357023 0.001102463 
1 22 0.5901408 2 0.4098592 1 1257 873 NA 0.886385 2 0.1136150 1 1888 242 NA 0.5421457 0.01490421 
1 23 0.5901408 2 0.4098592 1 1257 873 NA 0.9422535 2 0.05774648 1 2007 123 NA 0.5602552 0.001335822 
1 24 0.5901408 2 0.4098592 1 1257 873 NA 0.799061 2 0.2009390 1 1702 428 NA 0.4783612 0.001191565 
1 25 0.5901408 2 0.4098592 1 1257 873 NA 0.5018779 1 0.4981221 2 1069 1061 NA 0.3110248 0.003645026 
1 26 0.5901408 2 0.4098592 1 1257 873 NA 0.7070423 2 0.2929577 1 1506 624 NA 0.4252461 0.001274743 
1 27 0.5901408 2 0.4098592 1 1257 873 NA 0.5051643 2 0.4948357 1 1076 1054 NA 0.3159950 0.005285695 
1 28 0.5901408 2 0.4098592 1 1257 873 NA 0.5056338 2 0.4943662 1 1077 1053 NA 0.3157621 0.004988523 
1 29 0.5901408 2 0.4098592 1 1257 873 NA 0.8403756 2 0.1596244 1 1790 340 NA 0.5187188 0.01599192 
1 30 0.5901408 2 0.4098592 1 1257 873 NA 0.7079812 2 0.2920188 1 1508 622 NA 0.4264796 0.001503522 
1 31 0.5901408 2 0.4098592 1 1257 873 NA 0.887688 2 0.1123120 1 1889 239 2 0.5442988 0.01732192 
1 32 0.5901408 2 0.4098592 1 1257 873 NA 0.9150235 2 0.08497653 1 1949 181 NA 0.527751 0.007968297 
1 33 0.5901408 2 0.4098592 1 1257 873 NA 0.9169014 2 0.08309859 1 1953 177 NA 0.529218 0.007662075 
